rukadastr	Russian land registry number	Russian land registry number (kadastroviy nomer, cadaster number) assigned to each land, territory, building and other geographic administrative objects by Rosreestr	False	ru	geo	RU		Кадастровый номер	Када́стровый но́мер — уникальный номер объекта недвижимости, присваиваемый ему при осуществлении кадастрового и технического учёта.				rukadastrbypat, rukadstrbyname
rumedicineregnum	Registration code of medicine (Russian)	Russian medicine registration code	False	ru	medical	RU		Код регистрации лекарственного средства в России	Код регистрации лекарственного средства в России. Реестр Росздравнадзора 				rumedicineregnumber
rumedicinetradename	Medicine trade name (Russian)	Trade name of the medicine in Russian.	False	ru	medical	RU		Торговое наименование лекарственного средства	Торговое название для лекарственных средств				rumedicinetradenamebyknown
rumedmnn	International nonproprietary name (Russia)	An international nonproprietary name (INN) is an official generic and non-proprietary name given to a pharmaceutical drug or an active ingredient. (Russian)	False	ru	medical	RU		Международное непатентованное наименование	Международное непатентованное наименование (МНН) — уникальное наименование действующего вещества лекарственного средства, рекомендованное Всемирной организацией здравоохранения (ВОЗ).				rumnnknownshort, rumnnknownfull
rumosadmareas	Moscow administrative areas (Russia)	Moscow city (Russia) administrative areas	False	ru	common	RU		Районы города Москвы	Справочник районов города Москвы				rumosadmareas
rumosdistricts	Moscow districts (Russia)	Moscow city (Russia) districts	False	ru	common	RU		Округа города Москвы	Округа города Москвы				rumosdistricts
runpa	Russian regulatory legal act	Russian regulatory legal act. For example: Executive order	False	ru	government	RU		Нормативно-правовой документ	Нормативно-правовой документ в России. Например, постановление правительства				runpabyknown, runpabyfunc
runpakind	Russian regulatory legal act type	Type of the Russian legal document: order, executive order and so on	False	ru	government	RU		Тип нормативного документа	Тип нормативного документа, например: указ, постановление, приказ				runpakindbydata
rusfeddistrict	Russian federal district name	Name of the federal district of Russia. Full or short.	False	ru	common	RU		Наименование федерального округа России	Наименование федерального округа России полное или сокращённое				rusfeddistrict
rusnils	Individual insurance account number (SNILS)	Russian social insurance identifier. Issued for every insured person by Pension fund of Russia	True	ru	pii, persons	RU		Код СНИЛС	Страховой номер индивидуального лицевого счёта физического лица (СНИЛС)				rusnils, snilsbyknown
rusregion	Russian region (federal subject) coce or name	Code or name of the region (federal subject) in Russia as it is in country Constitution	False	ru	common	RU		Код или наименование субъекта Российской Федерации	Код или наименование субъекта Российской Федерации по Конституции страны			rusregionname, rusregioncode	rusregionnamebypat, rusregionnamebyknown, ruregioncode
scopusauthoirid	Scopus author ID	identifier for an author assigned in Scopus bibliographic database	False	common	persons, science					https://www.wikidata.org/wiki/Property:P1153	wikidata		
sha1hash	SHA-1 hash	SHA-1 hash from file or data. Sometimes used as unique id of the data record	False	common	cryptography					https://en.wikipedia.org/wiki/SHA-1	wikipedia		sha1hash
sha256hash	SHA256 hash	SHA256 hash from file or data. Sometimes used as unique id of the data record	False	common	cryptography					https://en.wikipedia.org/wiki/SHA-2	wikipedia		sha256hash
sssc	Serial shipping container code	The Serial Shipping Container Code (SSCC) is an 18-digit number used to identify logistics units. In order to automate the reading process, the SSCC is often encoded in a barcode, generally GS1-128, and can also be encoded in an RFID tag. It is used in electronic commerce transactions. 	False	common	transport					https://en.wikipedia.org/wiki/Serial_shipping_container_code	wikipedia		
street	Street	Name of the street, commonly used in address	True	common	geo, pii, common							rustreet, russtreet	rustreetknown, streetknown
swiftcode	Bank SWIFT code (ISO 9362)	ISO 9362 defines a standard format of Business Identifier Codes (also known as SWIFT-BIC, BIC, SWIFT ID or SWIFT code) approved by the International Organization for Standardization (ISO).	False	common	finances	RU				https://en.wikipedia.org/wiki/ISO_9362	wikipedia		russianswiftcode
tickersymbol	Stock ticker symbol	cker symbol or stock symbol is an abbreviation used to uniquely identify publicly traded shares of a particular stock on a particular stock market.	False	common	finances					https://en.wikipedia.org/wiki/Ticker_symbol	wikipedia		
time	Time	Time of the day, like 12:00 or 10PM or 11:05	False	common	datetime								timebypatmin, timebypat, rustimename
timerange	Time range	Range between two points of time, like 8:00-21:00 or 8:00AM-1:00PM	False	common	datetime							rustimerange	rustimerangebypat, timerangebypat
timestamp	Digital timestamp (Unix time)	Digital timestamp defined as Unix Time. It is a system for describing a point in time. It is the number of seconds that have elapsed since the Unix epoch, excluding leap seconds.	False	common	datetime					https://en.wikipedia.org/wiki/Unix_time	wikipedia		timestampknownpat, timestampknown
timezone	Time zone	A time zone is an area that observes a uniform standard time for legal, commercial and social purposes	False	common	datetime					https://en.wikipedia.org/wiki/Time_zone	wikipedia		timezoneknownpat, timezoneknown
tld	Top level domain (TLD)	A top-level domain (TLD) is one of the domains at the highest level in the hierarchical Domain Name System of the Internet after the root domain.[10] The top-level domain names are installed in the root zone of the name space.	False	en	internet					https://en.wikipedia.org/wiki/Top-level_domain	wikipedia		
tnved	Russian TNVED code (product code)	TN VED is a Russian classifier used to identify product groups for customs purposes and international trade statistics.	False	ru	common	RU		Код ТНВЭД	Товарная номенклатура внешнеэкономической деятельности Евразийского экономического союза				rutnvedknown
tofkcode	Russian Federal treasury division code	Unique id of the Russian Federal treasury division.	False	ru	government	RU		Код территориального управления Федерального казначейства РФ	Код территориального управления Федерального казначейства РФ. Синхронизовано с наименованием территориального управления, ведомственный справочник.				tofkcodepat, tofkcode
tofkname	Russian Federal treasury division name	Name of the Russian Federal treasury division	False	ru	government	RU		Наименование территориального управления Федерального казначейства РФ	Наименование территориального управления Федерального казначейства РФ. Синхронизовано с кодом территориального управления, ведомственный справочник.				tofkname
udkindex	Russian bibliographic index (UDK)	Russian bibliographic classifier (UDK)	True	ru	common	RU		Индекс УДК (универсальная десятичная классификация)	 Универса́льная десяти́чная классифика́ция — система классификации информации, широко используется во всём мире для систематизации произведений науки, литературы и искусства, периодической печати, различных видов документов и организации картотек. 				
ukbnfcode	BNF code	The British National Formulary (BNF) is a reference book containing the standard list of medicines used in UK prescribing. It gives information on the indications, dosages and side effects for over 70,000 medicines.	False	en	medical	GB				https://www.thedatalab.org/blog/2017/04/prescribing-data-bnf-codes/	other		bnfcode
uknino	National Insurance number	 The National Insurance number is a number used in the United Kingdom in the administration of the National Insurance or social security system. It is also used for some purposes in the UK tax system. 	True	en	pii, persons	GB				https://en.wikipedia.org/wiki/National_Insurance_number	wikipedia		
ukwardcode	Ward code (United Kingdom)	The wards and electoral divisions in the United Kingdom are electoral districts at sub-national level represented by one or more councillors.	False	en	geo	GB				https://en.wikipedia.org/wiki/Wards_and_electoral_divisions_of_the_United_Kingdom	wikipedia		ukwardcodebyknown
ukwardname	Ward name (United Kingdom)	The wards and electoral divisions in the United Kingdom are electoral districts at sub-national level represented by one or more councillors.	False	en	geo	GB				https://en.wikipedia.org/wiki/Wards_and_electoral_divisions_of_the_United_Kingdom	wikipedia		ukwardnamebyknown
unlocode	UN/LOCODE	N/LOCODE, the United Nations Code for Trade and Transport Locations, is a geographic coding scheme developed and maintained by United Nations Economic Commission for Europe (UNECE). UN/LOCODE assigns codes to locations used in trade and transport with functions such as seaports, rail and road terminals, airports, Postal Exchange Office and border crossing points. The first issue in 1981 contained codes for 8,000 locations. The version from 2011 contained codes for about 82,000 locations.	False	en	geo					https://en.wikipedia.org/wiki/UN/LOCODE	wikipedia		
url	Uniform Resource Locator (URL)	A Uniform Resource Locator (URL), colloquially termed a web address, is a reference to a web resource that specifies its location on a computer network and a mechanism for retrieving it. A URL is a specific type of Uniform Resource Identifier (URI), although many people use the two terms interchangeably	False	common	common					https://en.wikipedia.org/wiki/URL	wikipedia		url, urlknownpat, ruurlknown, websiteknown
uscounty	US County	Name or code of US County	False	en	geo	US							
username	Username	Name of the user or login, commonly used for authentication or user identification purposes	True	common	pii, persons								usernamebyknown
usssn	US Social Seucity Number	In the United States, a Social Security number (SSN) is a nine-digit number issued to U.S. citizens, permanent residents, and temporary (working) residents under section 205(c)(2) of the Social Security Act, codified as 42 U.S.C. § 405(c)(2)	True	en	pii, persons	US				https://en.wikipedia.org/wiki/Social_Security_number	wikipedia		
usstate	US State	Name or code of US State	False	en	geo	US							
uuid	A universally unique identifier (UUID)	A universally unique identifier (UUID) is a 128-bit label used for information in computer systems. The term globally unique identifier (GUID) is also used.	False	common	identifiers					https://en.wikipedia.org/wiki/Universally_unique_identifier	wikipedia		uuid
vehiclenumber	Vehicle number	Number of the vehicle (vehicle plate number)	False	common	transport								vehiclenumberbyfieldname
wifaddrcomp	WIF, compressed pubkey		False	common	cryptocurrency					https://allprivatekeys.com/bitcoin-address-format	other		
wifaddruncomp	WIF, uncompressed pubkey		False	common	cryptocurrency					https://allprivatekeys.com/bitcoin-address-format	other		
wikidataid	Wikidata Id	Wikidata makes use of identifiers for both internal organization of the knowledge base and for its connection to other databases.	False	common	objectids					https://www.wikidata.org/wiki/Wikidata:Identifiers	wikidata		wikidataidbyname
year	Year	A calendar year in western notation like 2022 or 1913	False	common	datetime					https://en.wikipedia.org/wiki/Year	wikipedia		yearbydataimprecise, yearknownpat, yearbydatafiltered, rusyearname, yearknown, fryearknown, ityear
siretcode	SIRET Code	The SIRET code (French: Système d’identification du répertoire des établissements), or SIRET number,[1] is an INSEE code which allows the geographic identification of any French establishment or business. 	False	fr	geo	FR				https://en.wikipedia.org/wiki/SIRET_code	wikipedia		frsiretcode
sirencode	SIREN Code	SIREN codes are given to French businesses and nonprofit associations, SIRET codes to their establishments and facilities. SIREN codes are maintained by the French INSEE. This is France-specific, and will not change during the lifetime of the business. 	False	fr	companies	FR				https://en.wikipedia.org/wiki/SIREN_code	wikipedia		frsirencode
pubchemid	PubChem ID	PubChem is a database of chemical molecules and their activities against biological assays. The system is maintained by the National Center for Biotechnology Information (NCBI), a component of the National Library of Medicine, which is part of the United States National Institutes of Health (NIH).	False	common	chemistry					https://en.wikipedia.org/wiki/PubChem	wikipedia		
molformula	Molecular Formula	Molecular formulae indicate the simple numbers of each type of atom in a molecule of a molecular substance.	False	common	chemistry					https://en.wikipedia.org/wiki/Chemical_formula	wikipedia		
oid	Object identifier (OID)	In computing, object identifiers or OIDs are an identifier mechanism standardized by the International Telecommunication Union (ITU) and ISO/IEC for naming any object, concept, or "thing" with a globally unambiguous persistent name.[1] 	False	common	objectids					https://en.wikipedia.org/wiki/Object_identifier	wikidata		
geonamesid	Geonames ID	identifier in the GeoNames geographical database	False	common	geo					https://www.wikidata.org/wiki/Property:P1566	wikidata		
iso3166code	identifier for a country subdivision per ISO 3166-2	identifier for a country subdivision per ISO 3166-2 (include country code)	False	common	geo					https://www.wikidata.org/wiki/Property:P300	wikidata		
viafid	VIAF ID	Identifier for the Virtual International Authority File database [format: up to 22 digits]	False	common	objectids					https://www.wikidata.org/wiki/Property:P214	wikidata		
